timestamp,symbol,longShortRatio
1653517800000,BTCUSDT,1.7716
1653518100000,BTCUSDT,1.7647
1653518400000,BTCUSDT,1.7647
1653518700000,BTCUSDT,1.7647
1653519000000,BTCUSDT,1.7655
1653519300000,BTCUSDT,1.7609
1653519600000,BTCUSDT,1.7601
1653519900000,BTCUSDT,1.7533
1653520200000,BTCUSDT,1.7473
1653520500000,BTCUSDT,1.7450
1653520800000,BTCUSDT,1.7420
1653521100000,BTCUSDT,1.7420
1653521400000,BTCUSDT,1.7427
1653521700000,BTCUSDT,1.7397
1653522000000,BTCUSDT,1.7518
1653522300000,BTCUSDT,1.7640
1653522600000,BTCUSDT,1.7685
1653522900000,BTCUSDT,1.7716
1653523200000,BTCUSDT,1.7724
1653523500000,BTCUSDT,1.7980
1653523800000,BTCUSDT,1.8281
1653524100000,BTCUSDT,1.8289
1653524400000,BTCUSDT,1.8337
1653524700000,BTCUSDT,1.8209
1653525000000,BTCUSDT,1.8121
1653525300000,BTCUSDT,1.7933
1653525600000,BTCUSDT,1.7571
1653525900000,BTCUSDT,1.7382
1653526200000,BTCUSDT,1.7203
1653526500000,BTCUSDT,1.7027
